Gene.symbol	ID	adj.P.Val	logFC
	8106475	0.074437979141882	0.524594551111111
	7893689	0.0744465850401145	-0.596321969444444
SUDS3	8110415	0.0745438733973572	0.611050959777777
CDC42	7898739	0.074552321768219	1.17410637611111
LINC00680-GUSBP4///LOC100133050///GUSBP9///GUSBP1///GUSBP3///GUSBP2///SMA5///SMA4///GUSBP3///SMA5///SMA4	8112469	0.0745825606014254	-1.95115209544444
	7895826	0.0746244849770442	-1.00886136294444
FAM122C	8169995	0.0746244849770442	-0.863507418999999
	7895473	0.0746244849770442	1.11264264511111
LYPD1	8055314	0.0746244849770442	0.598457072833332
MTX3	8112857	0.0746244849770442	-1.13845661216667
	8076239	0.074812159077088	0.580428280444444
COX7B	8168470	0.0748161664176908	1.46773837494445
AREG	8095744	0.074923913078324	3.19370964716667
	8013533	0.0749956534423086	0.783291562166667
	8065196	0.0750399466132989	-0.775531217277778
	7892939	0.0750399466132989	0.650652812833336
IGFBP2	8048205	0.0751243873530768	1.34822618216667
NIPSNAP1	8075263	0.0751289017216316	-0.754850446722222
AATF	8006690	0.0751539559315884	0.42667579477778
	7894406	0.0751883932011286	-0.605581671111112
LBP	8062461	0.0752387971670629	0.596372066944445
TRIM51	7950977	0.0752387971670629	0.521033315444445
ACBD6	7922656	0.0752903645850799	-0.773861499611112
	7896657	0.0752903645850799	0.589257291111108
SLC17A9	8064014	0.0753175298968204	0.635776139666667
ABCC1	7993478	0.0753175298968204	-0.829861266722224
TPBG	8120880	0.0755960428296808	-0.692731903055555
RN7SL737P	7957549	0.0755983080445728	-0.672229640611111
	8099589	0.0758384957715951	-1.34922671833333
ZNF32	7933186	0.0758384957715951	-0.808062982222224
ST20-AS1	7985253	0.0758384957715951	0.669149532888889
MB21D1	8127534	0.0759494363751527	0.899773050055557
MAP1A	7983228	0.0759823832707706	-0.955368576055553
DNAJB12	7934244	0.0760241021430565	0.602335480722224
	7963261	0.0760868844160502	-0.705638910833333
SELO	8074020	0.0761503560987781	0.710424713388887
DHX8	8007505	0.0762146189165152	0.505916951333335
FYB	8105061	0.0763907119658627	1.48176297838889
LINC00994	8088548	0.0764173387518661	-0.508592270611111
	7893618	0.0764173387518661	-1.11545488561111
	8169004	0.0764255051559523	0.562955886166667
WDR92	8052703	0.0764255051559523	-1.01954562783333
ACSS1	8065444	0.0764475198143739	-1.11975223188889
TBC1D2B	7990657	0.0766584298952702	0.689012738888891
	8082605	0.0767454729884555	0.694654943277779
ELMO1	8180411	0.0767503578222026	-0.706107946111109
PYCARD	8001030	0.0768598522497271	0.968350170388888
LOC407835	8136065	0.0768799032843017	0.506216298388891
	8022100	0.0768799032843017	0.60285848738889
FAM105A	8104570	0.0769796854893158	1.79437148794444
IQGAP2	8106354	0.0770436984299962	-0.844014069999997
CPSF3L	7911486	0.0770906432716964	0.513951876222223
	7892661	0.0771113370528479	1.26176796738889
KIAA1841	8042168	0.0771113370528479	-0.931273448777779
MTG1	7931607	0.077164379658194	-0.590113358833334
BOLA3	8053059	0.077164379658194	0.798989824166666
COMMD8	8100145	0.0772140394022638	1.09102135388889
CASP3	8103922	0.0773168962143936	-0.808368896111114
HACE1	8128522	0.0773168962143936	-0.811647313333332
ANGPTL8	8025850	0.0773348705586585	0.505644461944446
PTMS	7953409	0.0777268133836193	-0.900012844111112
GAREM2	8040632	0.0777727741442455	0.548938573
TMEM140	8136388	0.0777727741442455	-1.25924879727778
ARFRP1	8067727	0.0777727741442455	-0.615893414833334
CCR5	8093298	0.0778674164792447	0.832270359166666
	7892748	0.0778760171557022	-0.808234133722221
RPS10P7	7908692	0.0778916496629698	-1.015812798
	7894840	0.0778916496629698	-0.791395142888888
INPP5K	8011062	0.0778916496629698	0.576099762222222
	7917670	0.0778916496629698	-0.721024697111109
HSFX1///HSFX2	8175616	0.0778916496629698	-0.492564568555555
TMEM131	8054092	0.0778916496629698	0.68144853938889
DTNA	8020847	0.0779125146472816	0.659948379999999
NR1D2	8078272	0.077924952241712	-0.868141702222222
TEX264	8080121	0.077924952241712	0.566301310333334
MCRIP1	8019754	0.0779392540669604	0.613506226277779
PDE6H	7954136	0.0780305916098824	0.884583286666667
KRTAP12-3	8069161	0.0781120251780162	-0.850919585666666
	8136578	0.0784950622514943	-0.632485921166666
RAB7A	8082431	0.0784950622514943	1.17561906177778
PKD1L3	8002629	0.0784950622514943	0.565785153777778
ZNF625-ZNF20///ZNF625	8034344	0.0785369225969958	-0.816322525666668
PHF20L1	8148358	0.0785369225969958	0.557692865166668
TTC13	7925003	0.0785369225969958	0.868799791055557
	7911235	0.0785369225969958	-0.542205219000002
LOC441081	8105987	0.0786322551379099	1.68035002438889
MAPK13	8119016	0.0786961621435483	0.778668115555556
MIR646HG	8063793	0.0787485143525821	1.01246862388889
C9orf66	8159838	0.0787485143525821	0.525042486055555
RHEB	7927285	0.0788107397435048	-0.554400462722224
SNORD115-24///SNORD115-44///SNORD115-43///SNORD115-42///SNORD115-41///SNORD115-40///SNORD115-39///SNORD115-38///SNORD115-36///SNORD115-34///SNORD115-31///SNORD115-30///SNORD115-29///SNORD115-26///SNORD115-25///SNORD115-22///SNORD115-21///SNORD115-20///SNORD115-19///SNORD115-18///SNORD115-17///SNORD115-16///SNORD115-15///SNORD115-14///SNORD115-13///SNORD115-12///SNORD115-11///SNORD115-10///SNORD115-9///SNORD115-8///SNORD115-7///SNORD115-6///SNORD115-5///SNORD115-4///SNORD115-3///SNORD115-1///SNRPN	7982058	0.0788630245087107	-1.04874302644444
	7894118	0.0788662787986894	1.13639396922222
TP53BP2	7924526	0.0788662787986894	0.719602176277779
RAB3IP	7957072	0.0789261867943137	-1.09341738711111
CD101	7904303	0.0789261867943137	1.4870183375
MS4A3	7940216	0.0790067925674431	2.25452161811111
	7894012	0.0790067925674431	0.484300132222222
GBGT1///GBGT1	8164833	0.0790067925674431	-0.6102450195
	7893238	0.0790073887615608	-0.707108079999999
HSPA8	7952325	0.079019807238145	0.602922142777777
NUBPL	7973826	0.079019807238145	-0.773835607833334
KIF13A	8124088	0.0790348532326959	-0.875774655777776
OLIG1	8068235	0.0791627665334825	0.757226363277779
SDHD	7943853	0.0791834360597112	0.899734732
NT5M	8005247	0.079196619956198	-0.685582256833333
	7893464	0.079196619956198	-1.33027730961111
NFE2	7963760	0.0792002864164544	-0.968834077055558
FRRS1	7917954	0.0792002864164544	1.4973388305
TAF10	7946221	0.0792002864164544	0.558543853444446
AUNIP	7913852	0.0792331490150221	0.823847614444444
NDUFC1	8102839	0.0792331490150221	-1.38566458138889
LOC102723566	8158145	0.0792721852246283	-0.689469845777779
KANK1	8154012	0.0793427701944837	-0.998157351722225
	7893281	0.0794333437486746	-0.452987887777782
	8066027	0.079465374860507	0.703242283055557
NDUFAF1	7987642	0.0795219565469794	-1.4801226725
C11orf96	7939492	0.0797448774125521	0.715828748055557
SPRR2G	8180406	0.079865006440819	0.594412897722223
GTF3C3	8057933	0.079865006440819	-0.759326229777777
RIC1	8154254	0.0800923278424619	0.826063859444444
BCL2L10	7988852	0.0801120343588647	-0.609420287166667
PDX1	7968265	0.0801120343588647	0.638457812499997
ACKR3	8049471	0.0803134530985485	-0.837225375666666
	8070871	0.0804322308381296	0.551562540666667
ST14	7945204	0.0804505570711548	1.10149055077778
WRAP73	7911839	0.0804783218258585	-0.712342984055556
CIPC	7975926	0.0805554974740332	0.727411076166669
	8026298	0.0805799969886166	-0.788848814277779
LDB2	8099524	0.0805799969886166	0.702832342555558
ARL6	8081158	0.0806363591171776	-0.744666590666668
PYM1	7963965	0.0807079253680395	0.605421315500002
KDM4C	8154333	0.0807079253680395	-0.809937820333334
FAM72A///FAM72D///FAM72B	7904452	0.0807737499962893	1.60297052533333
FDFT1///FDFT1	8144669	0.0808072733906808	-0.840652585444444
SYTL1	7899323	0.0808072733906808	-0.751510479833333
	7896031	0.0808072733906808	0.79795974811111
RNU4-1	7967030	0.0808903915800195	2.30951972116666
KMO	7910950	0.0809252721925633	0.899775557611111
	8021438	0.0809420510672911	-0.644850653222221
KIAA0556	7994308	0.0809420510672911	0.574002930499999
PLA2G6	8076025	0.0809425128183057	-0.78994157988889
FAM83A	8148184	0.0810287708921078	0.691356088555557
	7893424	0.0810902217959807	0.889884083222222
C22orf15	8071745	0.0811913417885211	-0.610645257666667
DHX16	8124775	0.0812606346495678	-0.924307691333329
TRPV5	8143518	0.0812610340552295	0.590764146611112
HTR4	8114977	0.0812610340552295	0.665531926999999
	8115342	0.0812610340552295	-0.434784553666667
RXRA	8159127	0.0812945844564768	0.734320388388892
	7895786	0.0813094837797673	-1.45588351322222
SNORA80A	8069985	0.0813255139840509	-0.817980147500002
NCBP3	8011462	0.0813815657029186	0.480080191277779
FOXF1	7997726	0.0814388749315714	0.880926393055556
	7892727	0.0815401204693942	-1.73352672222222
RBPJ	8094460	0.0815401204693942	0.663034634555553
APH1A	7919729	0.0815401204693942	-0.83016391927778
	7926670	0.0815401204693942	1.27742730583333
FEM1B	7984470	0.0815734231917493	0.476224236888887
ECHDC3	7926152	0.0815942822306781	-0.802648619277777
CORO2A	8162744	0.0815942822306781	0.734820452944444
	7894339	0.0815942822306781	-0.624018830444445
	8171865	0.0816017592525238	-1.07539024194444
TGM2	8066214	0.0816719068558947	0.980286525166665
AKAP6	7973850	0.0816719068558947	-0.781948174999999
RXFP2	7968389	0.0816719068558947	0.362631793611112
OVOS///OVOS2	7961026	0.0816946272377127	-1.17715241255556
JAK2	8154178	0.0816946272377127	0.815939839111111
C16orf70	7996403	0.0816946272377127	0.680865213333333
	7997372	0.0816946272377127	0.517843779833334
	7895104	0.0817119512030438	-0.983066721222222
GPR146	8131067	0.0817236332565409	-1.00475277094444
	8080619	0.0817251046879711	-0.669969996666668
ORC4	8055645	0.0817403890473128	-0.650475834388887
	7893294	0.0817403890473128	-1.19663176872222
SNORD115-24	7982054	0.0817403890473128	-0.6711036715
INPP5B	7915101	0.0817403890473128	-0.545712780944447
WDR91	8143070	0.0817403890473128	-0.748624171166665
VPS26B	7945275	0.0817403890473128	0.645125891444446
LOC541472	8138542	0.0817987242096588	0.698525952833335
	7895306	0.0817987242096588	-0.750199521777778
CCR4	8078442	0.0817987242096588	0.947407498055556
	8176566	0.0817987242096588	2.28865619433333
	7928907	0.0817987242096588	3.03153044105555
APOBEC3D	8073072	0.0817987242096588	0.522737587777778
FAM129B	8164217	0.0819513122773105	0.843125095722224
CTSL	8156228	0.0819513122773105	1.85461612388889
	8146326	0.0819736071782352	-0.674514309666665
	8094499	0.0819931232513198	-0.752361753444444
C5orf42	8111584	0.0819931232513198	-0.835251378666667
ZNF710	7985924	0.0821973809521019	0.656212748722224
FER1L6-AS1	8152734	0.0821973809521019	-0.610201222555555
LOC554174	8076744	0.0821973809521019	1.19384476983333
RANBP3	8033075	0.0823177139980706	0.508874316222226
EHD4	7987772	0.0823177139980706	0.976233174500002
CCIN	8155200	0.0824894558052734	0.838258722166667
ELOF1	8034299	0.0826341018107443	0.849802859666669
	7918900	0.0826341699609291	-0.761062557500002
SNRPA	8028916	0.0827471690084962	1.44213137188889
EDEM1	8077458	0.0827899561796465	0.697588471722225
CAMTA2	8011774	0.0827899561796465	0.519457384944442
CENPI	8168794	0.0828303158099859	0.936722275777777
	7919386	0.0828801309462268	-0.757034978388893
HNRNPCL1	7912552	0.0828890052905683	-0.924472616166668
	7896056	0.08293485318822	-1.62063959377778
DPY19L2P1	8138988	0.0829941469311565	-1.11572377244445
SNX24	8107632	0.0829941469311565	1.00288826022222
FAN1	7982309	0.0829941469311565	-0.94771078927778
PLEC	8153568	0.0830323844382552	0.718342165777782
	7895289	0.0830543723289588	0.441949551
MRPL12	8010664	0.0831162674365058	-0.613456483611114
	7893012	0.0831512713471875	-0.768542103833333
AKR1C3	7925929	0.0831512713471875	-1.45775343088888
EIF4G1	8084439	0.0831587113813314	0.641616653
COG6	7968711	0.0831857080687279	-0.769901391333333
HS6ST1	7898677	0.0831857080687279	1.51254020111111
	7895316	0.0832018735518782	-0.76665689677778
HIST1H1B	8124527	0.0832119987571321	1.47447613172222
STRBP	8164013	0.0832119987571321	-1.024768584
SRBD1	8051963	0.0832413168147244	0.639699881000001
HLA-DQB1	8125461	0.0833523342040098	-2.50753162805556
EXOSC3	8161242	0.0833567277963019	-0.856248429944444
IFNLR1	7913776	0.0833567277963019	0.447228289055555
AGER	8179967	0.0835358895441027	0.628812471499999
EHBP1L1///SIPA1	7941311	0.0835481224451723	0.537909576055558
	7895924	0.0835481224451723	-0.54328856944444
SEPT8	8114050	0.0835481224451723	0.884287558444448
FAM127A	8170009	0.0835481224451723	-1.28126342944445
FES	7986110	0.0835481224451723	0.712539898722221
	7893047	0.0835481224451723	-1.2691524335
	7894982	0.0835481224451723	-0.539184581666667
FPGS	8158123	0.0835481224451723	-0.630086717833333
MTMR9LP	7914516	0.0835481224451723	-0.581662124944446
TCF4	8023415	0.0835481224451723	-1.30612650844444
IFIT1B	7929061	0.0835641498960166	1.85453029161111
	7893688	0.0835665293729387	-0.85613262538889
ZNF554	8024511	0.0837126590658431	-0.750956745055556
GINS3	7996211	0.0837546989510595	0.949815019611113
LOC285097	8049957	0.0837546989510595	-0.950368117222223
MCUB	8096808	0.0837546989510595	-1.648631602
BUB1B-PAK6///PAK6	7982688	0.0837635770843756	0.672158155611111
FANCI	7985829	0.0837705165909424	1.01315375322222
FAM114A2	8115375	0.0838057524593243	-0.827813896277776
	7992891	0.0838754570444362	-0.717177104277777
CLEC4A	7953723	0.0839088657861685	1.77063560977778
	8018095	0.0839101351993385	0.691506997277778
EXOSC9	8097128	0.0839101351993385	0.648841845777778
ADCYAP1R1	8132151	0.0840021522192276	0.5986445455
	8083469	0.0840090616716176	-1.23918656794445
RAB10	8040618	0.0840554125151191	0.811809384611113
PCNX3	7941364	0.0840554125151191	0.555154719444444
	7895627	0.0840602712460308	-0.853976042444445
	7896207	0.0841238166184611	-0.549387499611112
LRRC75A-AS1	8005191	0.0841312083581836	-0.641768416611113
ZNF296///ZNF296	8037495	0.08442347860336	0.569953961111112
	7894748	0.08442347860336	-1.17051170588889
ANKRD23	8053984	0.0844603165496751	-0.535306522333332
SMIM15	8112302	0.0845736517972705	-0.979900093444448
	7893805	0.0848968854788153	-0.867589870722225
	7895162	0.0849028852347964	1.07380306833333
	8042513	0.0849230804650105	0.916811399833334
APBB1	7946149	0.0849372688435358	-0.808265345611113
KAT5	7941382	0.0849521810717661	0.453656250944443
TGIF2LY///TGIF2LX	8168646	0.0849521810717661	1.31455346622222
OAS3	7958895	0.0849694284494777	1.03752544844445
	8090503	0.0851661212194809	-0.615604394
DPAGT1	7952185	0.0852749625421697	1.16949133177778
CLSPN///CLSPN	7914878	0.0853852222749442	1.33226999522222
NUCB1	8030133	0.0853852222749442	0.546487051388889
	7895108	0.0854732324188336	-1.00726040533333
CRAMP1	7992302	0.0856585054713788	-0.427965484166664
UNC5A	8110237	0.0856952258974237	0.570794518055556
ASUN	7961964	0.0857009523845171	-0.776362465611109
TCEAL7	8169015	0.0857770642790268	-0.730168685388888
LGALS12	7940762	0.0858900678481954	1.24063926555556
TNFSF9	8025053	0.0858900678481954	0.96823462188889
MGST1	7954196	0.0858900678481954	1.86178639488889
	8083792	0.0858900678481954	-0.761660630722218
IL1R1	8043995	0.0858900678481954	1.51725910344444
HSPA1B///HSPA1A	8179324	0.0859282667909461	-1.27695689538889
RPL32	8085407	0.0859282667909461	-0.839787811611112
PACS2	7977371	0.0859450603596103	-0.565775272055558
CRYAB	7951662	0.0859631145161164	0.386100242722222
MYO1B	8047127	0.0860007531045149	1.56918605638889
CCDC102B	8021685	0.0860007531045149	-0.571347454055556
TRIP13	8104234	0.0860007531045149	0.997218158722221
	7893500	0.0860007531045149	1.25684571822222
LANCL1	8058614	0.0860007531045149	-0.831820475500001
	7894421	0.0860007531045149	0.926855206888888
NAPB	8065372	0.0860242737152363	-0.763336418722223
ZNF780B	8036813	0.0860590454321106	-1.00821558205556
MND1	8097857	0.0860698853217931	1.09996758177778
RPS3A	7988031	0.0860698853217931	-1.28612948638889
PLPP1	8112107	0.0860903433046883	1.08977524255556
	8022020	0.0861282567511226	-0.476182957777779
	7895406	0.0862323997025925	-0.619247872555556
NAGPA	7999279	0.0862323997025925	0.6472455075
SNORA13	8107326	0.0863213797880331	-1.14204414233333
RAB1C	8161238	0.086434758261593	1.80557764044444
ADAR	7920531	0.086478009143514	0.487341215944449
MX2	8068697	0.0865278285082327	1.09862723333333
CR1L	7909390	0.0865393676446671	1.37796541361111
	8106720	0.086558492082999	-0.746857874055555
	7959078	0.086558492082999	-1.14333481872222
	8027429	0.086671055916508	-1.06329959783333
RYR2	7910792	0.0868631410089866	0.320098893611112
ARMT1	8122818	0.0869107284694633	0.877725037277776
ZNF548	8031737	0.0869107284694633	-0.714539363666669
SMIM3	8109326	0.0869107284694633	1.15979525755556
	7894207	0.0869794227881492	-0.698616937555554
	7892788	0.0869868451349094	-0.635764208111112
	8103873	0.0871268578052951	-0.809790241833334
ANKRD39	8053998	0.0871272437432056	0.532632319277779
ZNF626	8035795	0.087175216117083	-1.4430563985
EMC1	7913110	0.0872238246449574	0.564052211944444
GPX1	8087405	0.0872238246449574	-1.15952466461111
	7892890	0.08731547676237	1.00155643888889
	8161437	0.0874110217601114	-0.875907620944445
CHP1	7982878	0.0874216568103607	0.59403582738889
SESN3	7951077	0.0876053418848126	-1.69804477683333
MSTO2P///MSTO1	7906056	0.0876331204256823	-0.721627872222227
ULK3	7990400	0.0877901594207058	-0.460821510055554
	7919131	0.0878759790724268	0.859556793722223
	8097058	0.0879528039855361	1.15968823955556
SETD1B	7959314	0.0879639068430088	0.515431033222222
	8169699	0.0880358563546884	-0.638382190777778
COX7C	8106776	0.0880618534362896	-0.961637436833334
IL12A	8083690	0.0880618534362896	-0.974132763388889
CCDC159	8025868	0.0882049914235724	0.920662730222222
TRAP1	7999025	0.0882372161363775	0.77116773111111
HRH3	8067394	0.0882372161363775	0.556484717777776
	7929589	0.0883305186666971	-0.762676951722222
	7894213	0.0885373327106631	-0.649445408888889
TOMM34	8066461	0.0885373327106631	1.20370170011111
PRR5-ARHGAP8///PRR5///ARHGAP8	8073705	0.0885548231246727	-0.678594130333332
C3orf62	8087374	0.0886029884659102	0.720921020777777
GPRC5D	7961386	0.0887080681399421	0.888672208555556
OSGIN1	7997533	0.0887080681399421	0.491124400277778
MOB1A	8053064	0.0887986412778623	0.725903225
CATSPER2P1	7988208	0.0887986412778623	-0.959564162333335
GABRA2	8100109	0.0888266595952201	-0.477204313722222
HHEX	7929282	0.0888283458883498	-1.21089052038889
SULT1A2	8000582	0.0889071880676035	0.867470808666668
REV1	8054227	0.0889071880676035	-0.543797836388889
MIR382	7976842	0.0889243667468545	-0.448073951166666
MICALL2	8137715	0.0889667713552235	0.688260001222223
PPM1H	7964646	0.0889667713552235	-0.858888526388891
GALNT3	8056408	0.0889667713552235	0.988695410777778
	8168687	0.0889751494156331	-0.5836262315
RBM11	8067869	0.0890273682960351	-1.09142645466667
	7894441	0.0890659228746118	-1.56643920627778
GSPT2	8167654	0.0891285614328438	-0.865515906611109
KIF18A	7947248	0.0891541775179435	1.24612888144445
	7902072	0.0891679505938346	-0.764567435666667
DAAM1	7974697	0.0891679505938346	1.02208658705556
	7896416	0.0891679505938346	-0.780693410333332
MYRFL	7957092	0.0891679505938346	0.609638281166666
UBA52	8027024	0.0892218672561659	0.585914396777774
LOC728024	8150217	0.0892849796583911	-0.901891788555557
EMILIN2	8019912	0.0893622211430117	1.08923594577778
	7894249	0.0893941305719912	-0.751840735
	7894891	0.0893955788143	-2.14101745622222
ZFP3	8004081	0.0893955788143	-1.01068850777778
COQ10A	7956242	0.0893955788143	-0.681063832388892
GNB2	8134890	0.0894664619179461	0.513853659055557
KRTCAP2	7920659	0.0894924399202442	0.780689688555552
RNF26	7944510	0.089504083607048	0.858702670333333
PTMA	7976239	0.0895265054183236	0.783833424166668
TTI1	8066200	0.089542211309136	0.614288033333333
	7896496	0.089542211309136	-0.340301797777776
	8107131	0.0895605136486533	-0.546538621944443
POLR2E	8032149	0.0895605136486533	0.601398782388888
TMEM97	8005839	0.0895605136486533	0.99089064127778
FAM124B	8059387	0.0895605136486533	-0.833387664
TM4SF1	8091411	0.0895605136486533	-1.8428495805
GLS	8047097	0.0895605136486533	-0.991577762999999
ADAT2	8129963	0.0895605136486533	-0.846527208666668
	7896236	0.0895605136486533	-1.42466826188889
CNTN6	8077299	0.0895605136486533	-0.496498258055556
INA	7930208	0.0895920313504001	0.645563478333334
RIMKLB	7953765	0.0897493602113382	-1.25497455877778
DHRS7B	8005699	0.0897543267220964	0.680684486833334
ZC3H12C	7943715	0.0897543267220964	-1.23478484855555
LOXHD1	8023080	0.0897766853732179	0.872479811166667
	7895941	0.0898605775633932	-1.41460056294444
	7893089	0.0898605775633932	-1.1355450815
	7952396	0.0898758893807347	-0.608707942888887
GMPS	8083523	0.0899108376802856	0.989178906833333
C11orf68	7949540	0.0899180849855151	-0.716076366055555
NONO	8168280	0.0899991209793568	0.474169862388889
NOB1	8002312	0.0899991209793568	1.18099464022222
RIMBP3	8074591	0.0899991209793568	-1.10378836494445
EFEMP1	8052355	0.0900118226496345	0.427915100555555
	8096030	0.0900542020382694	-0.39901642611111
CDK9	8158112	0.0900632896292037	-0.447197679222224
TRMT61A	7977105	0.0900897207041445	0.590940727444446
	8088524	0.0901291797449224	-0.409871665222222
MIR326	7950490	0.0903083330092352	-0.927364245055559
SUN1	8131013	0.0903083330092352	-0.955322359222222
	7893993	0.0903154872290676	-0.734822996111106
	7895476	0.0903957283370587	-0.869826652388886
PON2	8141076	0.0905241984467044	-1.34894378366667
EPHX1	7910111	0.0905241984467044	0.784278749722224
FBXO41	8053009	0.0905295541577467	0.470356797388889
C11orf21	7945734	0.090539868541791	-0.929305464888891
	7896597	0.0907374296559008	1.35586729038889
	8071951	0.0907538435982038	0.965143110333332
	8063240	0.0907538435982038	0.741261887666667
HDC	7988672	0.0907595485807744	-1.80189721038889
DHPS	8034454	0.0909304033464943	0.544409560500002
STX16-NPEPL1///NPEPL1	8063650	0.0909304033464943	0.583165264611112
CTC1	8012423	0.0909367038420005	-0.591368761333335
TECR	8026341	0.0909958777607117	0.96912720388889
JRK	8153328	0.0911522013387715	-0.737670507833332
	8167638	0.0914618513097105	-0.305573034500001
TIGIT	8081799	0.0915571114638194	0.741874448777778
NRAS	7918813	0.0916937284173097	0.775929409222222
	7894174	0.0916937284173097	-1.10617810866666
BAMBI	7926875	0.091713944209142	1.00857336794445
KIF5C	8045637	0.091713944209142	0.686379368111111
KLRB1	7961059	0.0918249409569963	1.35088730244444
	8161556	0.0918249409569963	0.592343601166669
NPBWR1	8146429	0.091825484319473	0.592735234333333
CSE1L	8063283	0.091825484319473	0.836179365444444
RFPL1	8072226	0.0919061565031561	-0.528364267388889
S100A5	7920264	0.0919142769329236	-0.736163293555556
GLB1L	8059158	0.0919142769329236	-1.01399669227778
SNORA27	7968234	0.0919142769329236	-1.20121079183333
	7972414	0.0919267082037317	-0.726989849388888
GUCY1A3	8097957	0.091949621079954	-1.21270231605556
MICAL3	8074286	0.091949621079954	-0.790947380611112
	7893051	0.0920196990342914	-3.51058245683333
WDR19	8094638	0.0920305696835245	-0.868998042111111
C17orf77	8009662	0.0920999786217685	0.517356696944446
SMAD2	8023191	0.0921510808097311	-0.668528685222221
	7938625	0.0921510808097311	0.869982490166666
	7981909	0.0921807626129253	-0.756775931666667
ZFP2	8110472	0.0922182285239749	-0.641998222611111
FCGR2B	7906777	0.0922924174276277	1.62969980761111
PCCA	7969835	0.0923133657656712	-0.897354264333333
	7895190	0.0923133657656712	1.064391932
HHAT	7909510	0.0923621620608631	-0.795635813388889
SVOPL	8143209	0.0923764942036861	-0.674076257555557
ZNF574	8029182	0.0924665419027964	-0.632277920611108
	7936966	0.0924741481177102	0.776445492611111
	7893675	0.092480175575718	-0.792655002722224
	7894277	0.0924822996129271	-1.00854997283333
SEC14L4	8075390	0.0926028174181324	0.930912176833334
LOC645261	8112998	0.0926028174181324	-0.739529189111111
BEGAIN	7981309	0.0926028174181324	0.654321736833332
CDH18	8111220	0.0926028174181324	-0.530962953611111
	7895929	0.0926237800514061	-0.93243552083333
HIST1H3B	8124388	0.092705050133334	1.467353231
VBP1	8171013	0.092705050133334	0.709719590611112
IL11	8039484	0.092840462400797	-0.799732389555557
IGSF10	8091537	0.0928442617423804	2.10911916794444
ABTB2	7947462	0.0928442617423804	0.742084175555557
RASSF3	7956819	0.0928877308625341	0.779743256166667
RRM2	8040223	0.0928877308625341	1.28963139661111
MGC57346	8007799	0.0929265233611843	-1.50970934333333
ENOX2	8175102	0.0931919341874469	0.510465959222222
MAST4	8105741	0.0932358367834488	-0.657635843888889
	7893283	0.0932446916707571	-0.980489785833333
	7956419	0.0932669215252486	-0.703939370888889
CXorf38	8172110	0.0933389530828398	0.671565031888888
BNIP1	8110043	0.0933715753868561	0.752170683333333
TNFSF14	8033248	0.0935381769610743	0.628556270111112
XPO6	8000482	0.0935381769610743	0.401133434111111
C3	8033257	0.0935381769610743	0.7848779195
PIK3R3	7915787	0.0935536560581659	-0.820779150444443
SEC61G	8139706	0.0935749567028363	-1.28437280405555
RAP2B	8083457	0.0936626518585908	0.613351064277777
STARD13	7970924	0.0937184455718192	0.500003136611112
APLN	8175016	0.0937488738825241	0.624212627611112
EREG	8095728	0.0937938553622607	-1.83340640066666
	7895862	0.0937959247525465	-1.02265950766667
SH3GLB2	8164521	0.0937959247525465	-0.539897224055557
	7892579	0.0938292995340766	0.836571080499999
IPO8	7962085	0.0938472207437771	-0.642352767277777
	8050350	0.0939380727815534	-1.15434472433333
GH2	8017480	0.0939380727815534	-0.499775988444445
LOC107987457///PPP1R18	8124798	0.0939380727815534	0.581980260666665
RNF149	8054329	0.0939380727815534	-1.08262772094445
MCM9	8129214	0.0939380727815534	0.823220941222224
HPF1	8103684	0.0940433428025368	-0.939521584222222
ZNF354B	8110463	0.0941821550358452	-0.761043476944445
MIR7-3	8024896	0.0941821550358452	0.959109727500002
SNX8	8137833	0.0945149135083948	0.506414926055558
	8138287	0.0945642567662724	0.439807963055556
TRIM50	8140028	0.0947197754498517	0.689426737555556
PHF8	8173009	0.0947197754498517	-0.382918874388888
	7895016	0.0947197754498517	0.822800789666669
	7892919	0.0947668195940591	-0.748169738166665
ZNF626	8035779	0.0948208847411611	-0.489726508333332
KCNB2	8146908	0.0949066378384119	0.494836688611112
CANT1	8018982	0.0949066378384119	0.557248138444446
DHFR	8112902	0.0949796934839046	0.910648383111113
KRTAP5-3	7945652	0.0950963919916494	-1.466381914
	8102858	0.0950963919916494	-0.693136871499998
LZTS3	8064591	0.0952070974041268	-0.654356226722221
	7995417	0.0952674311249328	1.16736958672222
B9D1	8013331	0.0952674311249328	0.510870248444443
KCNG1	8067029	0.0952674311249328	0.830354425555556
C19orf53	8026193	0.0953814972505922	0.725862678055555
TIFAB///DCANP1	8114239	0.0953822376696767	1.03918419694445
SLC4A11	8064613	0.0954308599293811	0.766252327166666
DUS2	7996725	0.0955302447824173	0.804914260888889
MIR516B2	8031031	0.0956908240851552	-0.485346360444445
	8103559	0.0956919781556407	-0.612233610777779
ID2B	8088480	0.0957589926359666	0.934538757222222
CEP192	8020267	0.0959179258941193	0.557743830166667
	8104725	0.0959898930026443	-0.932613196888888
	7943367	0.0960458924653188	-0.879179908444446
CCL3	8014369	0.0963514408471046	1.80638895005556
TRIM66	7946380	0.0963664058049069	-0.558716385111111
	8025474	0.09642879558833	-0.537825736722223
	7894609	0.096435990112685	-0.84339757238889
	7896652	0.0964857112903369	-0.597935197111111
	7893672	0.0965636187121585	-1.23508201594445
